

                                                                                                                                                                                                                                 President of the United States
                                                            Donald J. Trump (I) (Rep)                                                                                                                             Joseph R. Biden (Dem)                                                                                                                                 Jo Jorgensen (Lib)                                                                                                                                    
County                        Election Day Votes            Absentee by Mail Votes        Advanced Voting Votes         Provisional Votes             Choice Total                  Election Day Votes            Absentee by Mail Votes        Advanced Voting Votes         Provisional Votes             Choice Total                  Election Day Votes            Absentee by Mail Votes        Advanced Voting Votes         Provisional Votes             Choice Total                  Total                         
Thomas                        17                            22                            39                            0                             78                            38                            28                            54                            0                             120                           1144                          772                           3843                          0                             5759                          18                            16                            25                            0                             59                            83                            31                            304                           0                             418                           18                            13                            38                            0                             69                            71                            26                            184                           1                             282                           369                           418                           1164                          2                             1953                          108                           131                           318                           0                             557                           68                            20                            189                           0                             277                           107                           127                           333                           0                             567                           109                           149                           434                           0                             692                           1158                          798                           3769                          0                             5725                          52                            31                            146                           0                             229                           42                            13                            54                            0                             109                           9                             7                             18                            0                             34                            10                            52                            50                            0                             112                           82                            25                            186                           0                             293                           591                           1231                          1985                          2                             3809                          23                            37                            51                            0                             111                           21253                         
Tift                          12                            10                            14                            0                             36                            7                             24                            36                            0                             67                            1040                          521                           2910                          2                             4473                          7                             3                             20                            0                             30                            65                            14                            97                            0                             176                           10                            7                             25                            0                             42                            37                            11                            64                            1                             113                           191                           158                           355                           9                             713                           37                            51                            112                           0                             200                           50                            12                            74                            0                             136                           86                            78                            194                           1                             359                           75                            56                            158                           0                             289                           1403                          687                           3507                          6                             5603                          30                            13                            57                            0                             100                           29                            16                            44                            0                             89                            7                             2                             8                             0                             17                            3                             14                            16                            1                             34                            46                            3                             98                            0                             147                           656                           946                           1676                          6                             3284                          18                            16                            45                            0                             79                            15987                         
Toombs                        11                            11                            19                            0                             41                            14                            10                            19                            0                             43                            706                           522                           2274                          1                             3503                          3                             9                             6                             0                             18                            59                            16                            84                            0                             159                           9                             1                             11                            0                             21                            38                            14                            50                            0                             102                           112                           145                           198                           1                             456                           24                            35                            57                            0                             116                           54                            18                            67                            0                             139                           50                            54                            79                            0                             183                           35                            49                            91                            0                             175                           751                           609                           2092                          4                             3456                          15                            4                             21                            0                             40                            30                            2                             21                            0                             53                            6                             4                             7                             0                             17                            4                             8                             9                             0                             21                            113                           24                            178                           0                             315                           311                           690                           756                           3                             1760                          9                             5                             19                            0                             33                            10651                         
Towns                         9                             2                             5                             0                             16                            4                             7                             12                            0                             23                            588                           751                           2655                          5                             3999                          2                             3                             5                             0                             10                            14                            15                            49                            2                             80                            4                             4                             8                             0                             16                            16                            9                             35                            0                             60                            20                            65                            83                            0                             168                           4                             9                             14                            0                             27                            16                            6                             26                            0                             48                            2                             17                            24                            0                             43                            17                            58                            88                            0                             163                           297                           430                           1308                          1                             2036                          4                             14                            13                            0                             31                            9                             4                             16                            0                             29                            1                             1                             5                             0                             7                             1                             8                             3                             0                             12                            18                            2                             25                            0                             45                            74                            494                           449                           0                             1017                          1                             8                             7                             1                             17                            7847                          
Treutlen                      0                             4                             6                             0                             10                            5                             4                             11                            0                             20                            156                           117                           644                           0                             917                           3                             3                             1                             0                             7                             15                            1                             34                            0                             50                            1                             0                             2                             0                             3                             6                             0                             18                            0                             24                            23                            44                            106                           0                             173                           4                             12                            27                            0                             43                            11                            1                             18                            0                             30                            6                             13                            27                            0                             46                            10                            16                            25                            0                             51                            198                           143                           624                           0                             965                           4                             1                             6                             0                             11                            5                             2                             2                             0                             9                             1                             0                             2                             0                             3                             2                             1                             1                             0                             4                             10                            3                             25                            0                             38                            68                            172                           311                           0                             551                           3                             4                             3                             0                             10                            2965                          
Troup                         26                            16                            36                            0                             78                            40                            30                            35                            1                             106                           1710                          1226                          4429                          20                            7385                          17                            23                            26                            0                             66                            119                           38                            216                           3                             376                           32                            10                            21                            0                             63                            122                           26                            179                           5                             332                           522                           348                           870                           9                             1749                          139                           96                            190                           2                             427                           111                           19                            128                           1                             259                           178                           121                           282                           1                             582                           184                           130                           300                           2                             616                           2323                          1586                          5245                          11                            9165                          60                            25                            97                            1                             183                           61                            21                            73                            1                             156                           25                            6                             25                            0                             56                            12                            36                            24                            0                             72                            87                            17                            150                           2                             256                           1653                          2462                          3348                          14                            7477                          45                            31                            68                            0                             144                           29548                         
Turner                        8                             1                             6                             0                             15                            2                             4                             10                            0                             16                            135                           90                            631                           0                             856                           1                             1                             2                             0                             4                             6                             4                             27                            0                             37                            2                             4                             9                             0                             15                            2                             6                             16                            0                             24                            68                            31                            99                            0                             198                           17                            11                            31                            0                             59                            11                            0                             20                            0                             31                            20                            19                            54                            0                             93                            15                            10                            40                            0                             65                            196                           132                           981                           1                             1310                          11                            4                             15                            0                             30                            12                            1                             12                            0                             25                            0                             0                             2                             0                             2                             0                             4                             6                             0                             10                            8                             1                             26                            1                             36                            179                           184                           503                           0                             866                           6                             5                             14                            0                             25                            3717                          
Twiggs                        4                             8                             2                             0                             14                            4                             7                             2                             0                             13                            291                           115                           503                           0                             909                           2                             0                             2                             0                             4                             15                            3                             21                            0                             39                            3                             0                             2                             0                             5                             9                             2                             9                             0                             20                            59                            59                            91                            2                             211                           25                            22                            21                            0                             68                            17                            4                             13                            0                             34                            15                            22                            24                            1                             62                            20                            15                            29                            0                             64                            465                           177                           629                           0                             1271                          7                             4                             21                            0                             32                            10                            2                             5                             0                             17                            1                             2                             0                             0                             3                             0                             3                             6                             0                             9                             9                             3                             19                            0                             31                            296                           549                           663                           0                             1508                          6                             9                             15                            0                             30                            4344                          
Union                         7                             6                             11                            0                             24                            8                             10                            15                            0                             33                            2142                          1449                          4502                          7                             8100                          5                             16                            11                            0                             32                            48                            23                            88                            1                             160                           4                             2                             11                            0                             17                            32                            17                            55                            1                             105                           36                            117                           133                           0                             286                           11                            9                             27                            0                             47                            28                            10                            52                            1                             91                            13                            20                            28                            0                             61                            41                            85                            114                           0                             240                           1009                          758                           2178                          0                             3945                          12                            11                            26                            0                             49                            27                            17                            28                            0                             72                            7                             4                             12                            0                             23                            4                             17                            14                            0                             35                            42                            7                             47                            0                             96                            196                           907                           801                           0                             1904                          5                             21                            16                            0                             42                            15362                         
Upson                         9                             9                             17                            0                             35                            8                             11                            11                            0                             30                            518                           478                           2642                          1                             3639                          7                             10                            6                             0                             23                            57                            18                            100                           0                             175                           9                             3                             17                            0                             29                            27                            11                            77                            0                             115                           111                           102                           245                           0                             458                           42                            39                            93                            0                             174                           26                            4                             67                            0                             97                            27                            29                            79                            0                             135                           38                            39                            91                            0                             168                           634                           651                           2951                          3                             4239                          13                            11                            42                            0                             66                            26                            13                            31                            0                             70                            7                             2                             6                             0                             15                            6                             11                            9                             0                             26                            20                            7                             83                            0                             110                           413                           1250                          1416                          0                             3079                          7                             16                            17                            0                             40                            12723                         
Walker                        42                            23                            47                            0                             112                           54                            45                            45                            0                             144                           1758                          1260                          4682                          4                             7704                          29                            31                            45                            0                             105                           228                           93                            468                           0                             789                           63                            32                            116                           0                             211                           194                           64                            322                           0                             580                           171                           346                           505                           0                             1022                          56                            79                            162                           2                             299                           174                           46                            308                           1                             529                           59                            76                            126                           0                             261                           186                           318                           424                           0                             928                           2773                          2000                          7484                          1                             12258                         47                            38                            97                            0                             182                           121                           49                            125                           0                             295                           27                            8                             39                            0                             74                            18                            73                            62                            0                             153                           176                           48                            408                           1                             633                           309                           889                           915                           0                             2113                          25                            71                            48                            0                             144                           28536                         
Walton                        29                            28                            39                            0                             96                            50                            30                            68                            0                             148                           2626                          2065                          7624                          0                             12315                         33                            16                            43                            0                             92                            169                           104                           342                           0                             615                           35                            20                            59                            0                             114                           151                           45                            247                           0                             443                           375                           410                           926                           0                             1711                          112                           133                           246                           0                             491                           148                           42                            236                           0                             426                           103                           120                           306                           0                             529                           132                           186                           348                           0                             666                           5500                          3676                          13502                         0                             22678                         57                            35                            126                           0                             218                           166                           62                            186                           0                             414                           23                            11                            48                            0                             82                            9                             31                            27                            0                             67                            124                           47                            254                           0                             425                           1268                          3066                          4083                          0                             8417                          31                            58                            100                           0                             189                           50136                         
Ware                          15                            10                            20                            0                             45                            16                            20                            28                            0                             64                            1344                          768                           3227                          0                             5339                          6                             8                             15                            0                             29                            78                            38                            166                           0                             282                           11                            8                             20                            0                             39                            41                            30                            87                            0                             158                           140                           284                           515                           0                             939                           72                            99                            194                           0                             365                           60                            18                            91                            0                             169                           55                            117                           181                           0                             353                           59                            82                            180                           0                             321                           840                           525                           1958                          0                             3323                          23                            34                            61                            0                             118                           40                            6                             26                            0                             72                            6                             1                             20                            0                             27                            8                             18                            28                            0                             54                            93                            29                            200                           0                             322                           174                           819                           769                           0                             1762                          4                             24                            37                            0                             65                            13846                         
Warren                        2                             3                             6                             0                             11                            2                             4                             4                             0                             10                            69                            85                            297                           0                             451                           2                             3                             1                             0                             6                             3                             3                             14                            0                             20                            2                             0                             1                             0                             3                             0                             1                             12                            0                             13                            70                            67                            112                           0                             249                           15                            16                            41                            0                             72                            2                             4                             10                            0                             16                            21                            23                            45                            0                             89                            14                            11                            37                            0                             62                            107                           115                           413                           0                             635                           6                             8                             9                             0                             23                            2                             0                             6                             0                             8                             2                             2                             1                             0                             5                             7                             52                            26                            0                             85                            2                             2                             5                             0                             9                             151                           328                           350                           0                             829                           5                             6                             6                             0                             17                            2613                          
Washington                    9                             7                             7                             0                             23                            8                             5                             5                             0                             18                            549                           274                           1086                          2                             1911                          7                             10                            8                             0                             25                            27                            5                             31                            0                             63                            10                            3                             12                            0                             25                            23                            13                            32                            0                             68                            192                           222                           339                           1                             754                           46                            64                            68                            0                             178                           29                            8                             25                            0                             62                            81                            71                            119                           0                             271                           37                            37                            69                            0                             143                           760                           421                           1192                          3                             2376                          12                            10                            28                            0                             50                            10                            2                             6                             0                             18                            6                             2                             4                             0                             12                            14                            30                            12                            0                             56                            22                            4                             17                            0                             43                            656                           1247                          1140                          3                             3046                          15                            15                            25                            0                             55                            9197                          
